user_screen_name,user_display_name,user_reported_location,account_language,tweet_language,tweet_text,tweet_time,urls,hashtags,is_retweet,spacy_language_detection,lemmatized_tweet_text
ATRrEoeYdUz53H6SaPYAZkxSV6zcGiTjYcnHFP0fEK0=,ATRrEoeYdUz53H6SaPYAZkxSV6zcGiTjYcnHFP0fEK0=,"La Plata, Argentina",es,en,RT @Thrones_Memes: Jason Momoa's reaction to The Hound making his return. #GameOfThrones https://t.co/Iisi89kB1o,6/7/16 17:08,[],['GameOfThrones'],True,en,rt jason momoa reaction the hound make return gameofthrone
ATRrEoeYdUz53H6SaPYAZkxSV6zcGiTjYcnHFP0fEK0=,ATRrEoeYdUz53H6SaPYAZkxSV6zcGiTjYcnHFP0fEK0=,"La Plata, Argentina",es,en,RT @Thrones_Memes: Bronn is back. #GameOfThrones https://t.co/erifbRJJq3,6/7/16 17:07,[],['GameOfThrones'],True,en,rt bronn gameofthrone
08f8ce1bb73af31bdf6b4711959433d96fc08d42027e2914fe6c784cf203d2c3,08f8ce1bb73af31bdf6b4711959433d96fc08d42027e2914fe6c784cf203d2c3,,es,en,I am using it for unfollow and it is SUPER GREAT. #FollowerMonkey https://t.co/6xFihmNHZH,1/17/18 17:29,[https://goo.gl/fovcbA?38442],[FollowerMonkey],False,en,-PRON- unfollow super great followermonkey
08f8ce1bb73af31bdf6b4711959433d96fc08d42027e2914fe6c784cf203d2c3,08f8ce1bb73af31bdf6b4711959433d96fc08d42027e2914fe6c784cf203d2c3,,es,en,nice and very helpful twitter automation tool! #RoboTwity https://t.co/a1ep4YD4yd,10/9/17 16:48,[https://goo.gl/KyNqQl?35092],[RoboTwity],False,en,nice helpful twitter automation tool robotwity
08f8ce1bb73af31bdf6b4711959433d96fc08d42027e2914fe6c784cf203d2c3,08f8ce1bb73af31bdf6b4711959433d96fc08d42027e2914fe6c784cf203d2c3,,es,en,Great tool. Very easy to use and it does the job very well! I highly recommend it! #BulkFollower https://t.co/SzGtLXW16B,10/13/17 19:55,[https://goo.gl/4vsGDs?92382],[BulkFollower],False,en,great tool very easy use job -PRON- highly recommend bulkfollower
08f8ce1bb73af31bdf6b4711959433d96fc08d42027e2914fe6c784cf203d2c3,08f8ce1bb73af31bdf6b4711959433d96fc08d42027e2914fe6c784cf203d2c3,,es,en,"it works perfecly, i highly recommend it! #RoboInsta @omurtlak https://t.co/cI4JbbFvbD",8/24/17 14:31,[https://goo.gl/FZZHsa?64593],[RoboInsta],False,en,work perfecly highly recommend roboinsta
7065266e2a8a34585ba622b77d4ddc8bf463c167de83acda3d027c32768eada5,7065266e2a8a34585ba622b77d4ddc8bf463c167de83acda3d027c32768eada5,,es,en,I posted a new photo to Facebook http://t.co/rUEHRKWlHr,5/7/14 0:41,[http://fb.me/1pc4SeopM],,False,en,-PRON- post new photo facebook
2fcdabfa70fde2273931e73104f825a76dccb6b16daf0a20635b5a4255afb32c,2fcdabfa70fde2273931e73104f825a76dccb6b16daf0a20635b5a4255afb32c,,es,en,RT @AccountingWEB: Is the #IRS Right to Increase User Fees? https://t.co/3cXWRaGdbf (by @CraigWSmalleyEA of @CWSEAPA) https://t.co/dTzAx97S…,6/15/17 14:46,[http://bit.ly/2rqK4ZL],[IRS],True,en,rt be irs right increase user fee
7065266e2a8a34585ba622b77d4ddc8bf463c167de83acda3d027c32768eada5,7065266e2a8a34585ba622b77d4ddc8bf463c167de83acda3d027c32768eada5,,es,en,RT @YemenPostNews: New Drone ATTACK: 3 killed when drone targeted a bus carrying suspected militants in #Yemen region Shabwa today. https:/…,6/19/16 15:24,[],[Yemen],True,en,rt new drone attack kill drone target bus carry suspect militant yemen region shabwa today
d45c1922a854cc0bea1dcdeacecde4b57353f45d4af42cf611853ed100ba5166,d45c1922a854cc0bea1dcdeacecde4b57353f45d4af42cf611853ed100ba5166,,es,en,"RT @DaysofPalestine: Israeli Occupation arrested Palestinian students &amp; children near Ofer Prison, West of Ramallah in the Occupied West Ba…",3/8/17 5:03,[],[],True,en,rt israeli occupation arrest palestinian student amp child near ofer prison west ramallah occupied west
d45c1922a854cc0bea1dcdeacecde4b57353f45d4af42cf611853ed100ba5166,d45c1922a854cc0bea1dcdeacecde4b57353f45d4af42cf611853ed100ba5166,,es,en,RT @palestine: Palestinian teens detail their torture at the hands of Israeli authorities https://t.co/MMEe0gDApP https://t.co/0nvFZlIB7b,3/6/17 11:20,[http://bit.ly/2kRivs1],[],True,en,rt palestinian teen detail torture hand israeli authority
7065266e2a8a34585ba622b77d4ddc8bf463c167de83acda3d027c32768eada5,7065266e2a8a34585ba622b77d4ddc8bf463c167de83acda3d027c32768eada5,,es,en,"RT @tercerotercero2: -""Made in Germany""... https://t.co/s0CLnW1t41",3/24/16 16:48,[https://twitter.com/prensa_libre/status/713038703673761792],[],True,en,rt germany
Latinodespertar,Latinos despertar,Venezuela,es,en,amazing extension. Definitely the best twitter automation tool I have ever seen!. #RoboTwity https://t.co/ZPBmXfvHGd,12/3/17 20:02,[https://goo.gl/KyNqQl?18192],[RoboTwity],False,en,amazing extension definitely good twitter automation tool -PRON- robotwity
Latinodespertar,Latinos despertar,Venezuela,es,en,Very useful. you can run multiple account at the same time with this twitter tool! #RoboTwity https://t.co/b43eHDNuxa,11/22/17 21:07,[https://goo.gl/KyNqQl?77819],[RoboTwity],False,en,very useful run multiple account time twitter tool robotwity
08f8ce1bb73af31bdf6b4711959433d96fc08d42027e2914fe6c784cf203d2c3,08f8ce1bb73af31bdf6b4711959433d96fc08d42027e2914fe6c784cf203d2c3,,es,en,Great tool.. Very easy to use and it does the job very well! #FollowerMonkey https://t.co/F57fw6Ewsq,1/30/18 20:03,[https://goo.gl/fovcbA?38799],[FollowerMonkey],False,en,great tool very easy use job followermonkey
2fcdabfa70fde2273931e73104f825a76dccb6b16daf0a20635b5a4255afb32c,2fcdabfa70fde2273931e73104f825a76dccb6b16daf0a20635b5a4255afb32c,,es,en,I am using RoboTwity extension to grow up my followers. #RoboTwity https://t.co/8ykCbyWEew,11/15/17 21:14,[https://goo.gl/KyNqQl?54595],[RoboTwity],False,en,-PRON- robotwity extension grow follower robotwity
2fcdabfa70fde2273931e73104f825a76dccb6b16daf0a20635b5a4255afb32c,2fcdabfa70fde2273931e73104f825a76dccb6b16daf0a20635b5a4255afb32c,,es,en,it is working and so happy to have it. #FollowerMonkey https://t.co/OlKbw6cONM,1/22/18 19:20,[https://goo.gl/fovcbA?33219],[FollowerMonkey],False,en,work happy followermonkey
7065266e2a8a34585ba622b77d4ddc8bf463c167de83acda3d027c32768eada5,7065266e2a8a34585ba622b77d4ddc8bf463c167de83acda3d027c32768eada5,,es,en,I posted a new photo to Facebook http://t.co/i9qpSGsXzn,5/3/14 18:47,[http://fb.me/2DyELWdTr],,False,en,-PRON- post new photo facebook
08f8ce1bb73af31bdf6b4711959433d96fc08d42027e2914fe6c784cf203d2c3,08f8ce1bb73af31bdf6b4711959433d96fc08d42027e2914fe6c784cf203d2c3,,es,en,nice and very helpful twitter automation tool! #RoboTwity https://t.co/DA9goSPPBZ,12/19/17 19:45,[https://goo.gl/KyNqQl?14161],[RoboTwity],False,en,nice helpful twitter automation tool robotwity
Latinodespertar,Latinos despertar,Venezuela,es,en,"Works awesome when you figure it out. Watch the video, very helpful twitter tool! #RoboTwity @omurtlak https://t.co/0AhhEdMF9A",8/9/17 20:31,[https://goo.gl/KyNqQl?72277],[RoboTwity],False,en,work awesome figure watch video helpful twitter tool robotwity
Latinodespertar,Latinos despertar,Venezuela,es,en,Great tool. Very easy to use and it does the job very well! #FollowerMonkey https://t.co/vnKW9byKMz,11/10/17 20:56,[https://goo.gl/YniJkF?61142],[FollowerMonkey],False,en,great tool very easy use job followermonkey
7065266e2a8a34585ba622b77d4ddc8bf463c167de83acda3d027c32768eada5,7065266e2a8a34585ba622b77d4ddc8bf463c167de83acda3d027c32768eada5,,es,en,RT @ArgentinaNews0: Thanks MarTech Advisor for the follow!,6/15/16 15:20,[],[],True,en,rt thanks martech advisor follow
2fcdabfa70fde2273931e73104f825a76dccb6b16daf0a20635b5a4255afb32c,2fcdabfa70fde2273931e73104f825a76dccb6b16daf0a20635b5a4255afb32c,,es,en,RT @swrobb: Courtney learning some golf and reporting on the process...fun segment... https://t.co/sM8ev2Xqsv,6/15/17 14:21,[http://fb.me/2t2BCpYFp],[],True,en,rt courtney learn golf report process fun segment
Latinodespertar,Latinos despertar,Venezuela,es,en,"Love this app, it is super easy and it has helped my business #FollowerMonkey https://t.co/ON5YIvrkgX",11/13/17 20:19,[https://goo.gl/YniJkF?80130],[FollowerMonkey],False,en,love app super easy help business followermonkey
d45c1922a854cc0bea1dcdeacecde4b57353f45d4af42cf611853ed100ba5166,d45c1922a854cc0bea1dcdeacecde4b57353f45d4af42cf611853ed100ba5166,,es,en,RT @DaysofPalestine: This afternoon Israeli Occupation attacked journalists as they were covering their crimes W of Ramallah in the Occupie…,3/8/17 5:01,[],[],True,en,rt this afternoon israeli occupation attack journalist cover crime w ramallah
